name,id
CLAY_R Irrigation Water Depth,1I3-EqEn39yuuBfwqeWoPoPF6MGga3pj383kQx3JBtUk
CLAY_R Water Table Depth,1FZjuDt6AtP0CZdaqqYKeWeRZNH592DMH5im623xZ-0w
GV - CRAWF Tile Flow,1_h-bNQwT_9QIlJefmEImcJfvw_lpS0RIm751buF89Hg
CRAWF Weather,1rcXugW-Xh2AUBeHkfXSdzqRASy-n-iTkSbvCRU4vGFo
CRAWF Soil Data,1sauJ_nqP9dz8AgHQml9hO25iNmFp3Phz733eX5BWhJg
CRAWF Tile Nitrate-N Load,1wtWaSPkafmY75I5uPbbFgApnTrZ3UwdfHnq944BindY
FILLED - CRAWF Tile Flow,1mNdvmOJy6hnAdszYflmRnxk_yfZLSJ50_hMPbFjKs4M
CRAWF Tile Flow,1FG3pGpqGBREa8ozdxlR4pmXAnmnNpVLLkQjVw4BzAsU
CRAWF WQ,1S2Ev_POr3FrP5BIHE2vt9ctRjS1-vzPJGHg2XLyOiTw
ACRE Crop Yield Data,12mZGdjH8x8KNK-HN9FN28avIrg5vQTyRXFzDu0soRdM
ACRE Weather,1FDN49ZKcmUD1YNJe3OdaYS9Pqt4ipjPgjwwGRW2TGtg
ACRE Soil Data,1fcyn1wVJml0DktHdsRG5eRitI1Hka4L1fBNO7dpEWac
ACRE WQ,1jcHZ3QhTdWnHsciFeFASUJ4_xq1XIJuJLCNY6aTWffM
ACRE Tile Nitrate-N Load,1yqzpeBGf7PwsE3JdQnQcEZl0qBVa005VCN9-z1AuZyk
ACRE Tile Flow,1u0HvKaAvjTjE7QC610gauuXIa2WrXwzdQTeFzKzMAjk
ACRE Water Table Depth,1rhK5Hp70FH6vhuqkw7mbS4gTlxdh3g2wvXGmeH_leIU
ACRE Piezometer,1Nf-w7p_ZEJQ1Rfp9WV0WbkvB4VC3e-QesktEUV60MeU
DEFI_R Crop Yield Data,1-IuGjXGnXf1v4LFUBsCqZnp4GP8Aj_UKjCpYuIzry10
DEFI_R WQ 1999-2008,1QU0VbW2b4TmP8ErGupFUEt7bkb2K8LC6JUriTO6igrk
DEFI_R Stage Wetland 2004-2009,1rMOeW6txNg2GJXs70FSzgIdO9_jz8V-IfmOXS2X4spg
DEFI_R Stage Reservoir 2004-2009,1NSlp-Iz8FMCIzA7-ZbtI3AdKVnkKiArgO4eqAk86kd4
DEFI_R Weather,1IHK6c0_rI1X1gBqYImpppJxGUpBfbG8flI4DVaZttkU
DEFI_R Soil Data,1JmP_xOj9LENiPw1Lf2bwor80Aqgnb5aHlE9XTMI7gmQ
DEFI_R Water Table Depth 2000-2007 manual readings,1GLxwd9exilRFk-gkD2JEx-PD2XyYRNBG7NlKXhQzh0c
DEFI_R WQ 2000-2007 Lysimeter,1qAYftykDBZ3Am5wSYVDw9aGSesbwQXW4SvUg0YcFxlY
DEFI_R Water Table Depth 2003-2007 from leveloggers,1LjnDvJy93kk94F8oTrH-7MmFhR-nuDwLB02oryu7teE
TIDE Weather,1M3zewHuUs-RuzN_rMDIY4YDVjZorPtr4Ed2cSNNg438
TIDE WQ,1nXPVBRJoOWc1KUEpqJKTOjGKXmpEskYCaYkQcjL9zQE
TIDE Tile Nitrate-N Load,1EOvWtHluMZKPvU7ESFbLHhoFX4U2qH-RO-_CTXTMfDM
TIDE Crop Yield Data,1ccddhFH0VqHLvvSuK3TtrVB1kFbJpcAS8F35W1spOUw
TIDE Soil Data,1BH08jcSUM_YM2TSd0BCHNe1IEMhYCx7vuNMtU9D5EXI
TIDE Tile Flow,1njFb5xIUFI0t6YIfwZlM-9YNlj15Kp9TOeG7zpdNWkA
FILLED - TIDE Tile Flow,1AnBDPuCmTMRIu_2JfuU_hvi4HNR9N9Fi9HNQrBZnZhA
TIDE Water Table Depth,1gNnrd4dRQh0x1M_v4MUSEUv23CLC1VTSJ7zWbn7XxRQ
UBWC WQ,1t0fn7WPHQT2GePdP8DA0-xxpTHGWt0_0ieoe28neHZA
COMPLETE - UBWC Tile Flow,1Z0VCy7BsjQ_JhsSpcZwSq6-wS7s-eDkOofyPzQuWjYA
UBWC Soil Data,1KfcM65U7XhInhNGKoBSIxDIQ5Pdjm1cYBxEYUeW3s0Y
UBWC Tile Nitrate-N Load,101LeBB34c7FisWm5kbwq7kBy5rZuWlFZxg4RlIXvFuA
UBWC Tile Flow,1wTAmWaKpbn59DSRUbeojvIrTS6QgtJzVmoawagyx4l8
UBWC Weather,11XrYrN4sGh3wtFQiqGsoJsRFaEirROsA3FspiIr2w0I
HICKS_B Tile Flow,1Q5o3W217bQnZsyMWGNDRglqG_-wLX-T4qYIolNMJFHw
HICKS_B Tile Nitrate-N Load,1z4_pGunWg0GAd5vyz8Z2YaxPQyAYz7lZuJ3Su9WFp-I
HICKS_B WQ,1Oaj6PhIMfSp5z7TMTTwXrmaQFN_YOGJlpZ7yD2gQ7wo
FILLED - HICKS_B Tile Flow,153ZRPpto9LGuQJo75LGbD09Y2RwrF0upDdhSIU83Rfc
HICKS_B Crop Yield Data,1Gjh4rT0QGusUg53vxtzVvNuSWdnAUWxcjeotVAMHxgE
HICKS_B Weather,1RJFwNqvU_Z1CkwUhZ1y5uOfTz5jbwSdcH-U7czZP9j8
HICKS_B Soil Data,1mvlUqOrrFKlE69gkB7PP4dvsRM4rcymgRDy8ZD7Bojc
HICKS_B Water Table Depth,1Hq3HaIL5Vl8aUNphSuofpB19xloPsqZojNPvffndyZQ
DAILY CLEAN - HENRY Tile Flow,105_RXDcMxQkFLRfqgfCGi2VmrPlsDVhoEtdw9LamVGQ
HENRY Soil Data,1r6Ffx7hzOc_VZB1u-VgyNJWWI0tfQpdLCRTqNxeiHOc
HENRY Tile Flow,1rkfqQryWlUZoxeepkuE7RFRlo1boz1EYjlkTn_TLmBg
HENRY Weather,1u86BZwI5TQdTcDWJU7TLVcQIF680LAI_p6VFzFXDzgc
HENRY WQ,1WBUxqTDX7i3DeiaU9SG6VbgpIs9G300nYI1USvymdes
HENRY Crop Yield Data,1i0O8cn9I7QnpHAyjvjP473nBR2pajTupPbYlICliZNI
HENRY Tile Nitrate-N Load,1RDiC-806XiZIxvZTLydlFJ8aS03eaOrHyurX3w0-KPA
DEFI_M Tile Nitrate-N Load,1W_OkKN_NAoMPz_WoDz0B8S73rRnxaCOF8RQldVK5bWk
DEFI_M WQ,1UYiouU0L6bc-c_wp-1xV4JJSMJijQ0N1xADsGSGsE7o
GV - DEFI_M Tile Flow,1o0H-f3eVJ0L_LhluDzVWgpHjJeXHT8RsCzmU_F4_EvM
DEFI_M Tile Flow,1vxlYDqRgID1os0Q5zXThk_8RVzqWduYNDOQ_SEObLak
DEFI_M Crop Yield Data,1tbyjbZFlevyy3lqGzfLBNj_dPrc5ZGtyvDtsrkL2W7g
DEFI_M Soil Data,15gF9e6YesELv7kdNhbLK-haqsXJexmeIQz5gChG1UYY
DEFI_M Weather,1rcXEgkxzEMdzQqOlW5XwIzUwKtoflXDuTbJDSXDW4d8
FILLED - DEFI_M Tile Flow,1yj4yjga8CV9B4QWX3y3cLDLT2gSGcll10W76-KZpe-M
GV - AUGLA Tile Flow,12m_CTvQiMrJYX-sF2H8XZt7aTlKe84lZeCj-jzZsLoU
AUGLA Tile Nitrate-N Load,14uAla2xeLpsuQGDPBB9VwLT2n88sibf_sLYoQkU7ItM
AUGLA Soil Data,1vlcpdnr0t1ybEoXFF7nK1KjJLXBtTm4AKjkCZ5dKyvE
AUGLA WQ,1x7hBKVXSFBG7jymKYSVs6Ey-z7xqeCCPTdV64kBCg5Y
AUGLA Tile Flow,14c2NbJLP3YlmNNuaq4d2ZaTrA0bdM6DQ_n7mhKXGhss
FILLED - AUGLA Tile Flow,1xexenKatcVTRG0aIwgGSPpttNZg35NvAGrHV65067v8
AUGLA Weather,1CBgIJP2DjZWRZz9KL8B0TbJXNWQWmeXrX-7ONhVWWeY
AUGLA Crop Yield Data,10NFxJ7udxqw37G2OZTYHOTQKfbMIPkZE8oIo1hcKlZI
STORY WQ,1NuIFzkdC9CNaYJGaAWy79Cjd56Cs6OSne06tPPiveNw
STORY Tile Flow,1Q_KRoIPlbwjrZ9BfXI7tCGJCgrirAu4Olv3j8bTowiA
STORY Crop Yield Data,1NxRB-yxj4udfPdDmNG8Z_fo0vtPwpKsGZBX9lQrlQVk
STORY Soil Data,1TPjU2pyr73GJbGJASSjmPXH5arkNaroLl7vPb-iFeoY
STORY Tile Nitrate-N Load,1JJzb9pPflyRttb4QORcswYndhb9CXkRV2fkVbCtIhyg
COMPLETE - STORY Tile Flow,1h7wOhrSINEBkGtghNHMO8LKA6WBEw3W81Pnfvt6ItA0
STORY Weather,14U42jd6A5uOEQ5-AsfyeWBFc6u_uhOsZMeE9J7IVoTE
MUDS2 Tile Flow,1swwdPzJXeB1G09KHnovNt-BhHeIi3iYlY2Mu2k-KV9Y
MUDS2 WQ,1vwYc-1NUhB-l0uFZx-4US2xjQMthHI6rbKXIJc--OT0
MUDS2 Crop Yield Data,1wd9s-2wxtaAktnXzrbCd6dT4uwAtPhFBxpgXnSdAjPI
MUDS2 Soil Data,14D7Vyj3SzSO2gqee9p9KlAp44Gih_Prjr5gxaupO7gc
COMPLETE - MUDS2 Tile Flow,1KECqEE80nikN33V4j4WNgqfPWtsxwMtaVFC1HJbZjo8
MUDS2 Weather,1ujXfbxUl96aRtfkSurYKTyshPGJcLcsbf5ls_EYMd5o
MUDS2 Tile Nitrate-N Load,1E08xztC5rjZetG4c1MVpKwJSutGI_Ym6LoxS2va0c2s
MUDS3_NEW Crop Yield Data,1ocNA9keANWwcOwc1cuu9n0h7GZ5E9I6OcVrhNkAM3IU
MUDS3_NEW Tile Nitrate-N Load,1N2l-Jk1ygYIFso5RxwzgOJXXQFpU5hOwCs6XS9Uwfi0
MUDS3_NEW Tile Flow,19zZ4wsvalt2lAT7DFsxVJhEmATYckM4ZUK8hy3t3pQU
MUDS3_NEW WQ,1BfMPtyhBKAoodjviEDQbclCsJHInmbSGgFbupMfR5f0
MUDS3_NEW Weather,1GYaNx8i_DGZlMuYtwdgYp_ZBEVe1yZvzqnpQeVTL36A
MUDS3_NEW Soil Data,14iOVGnweR-kwVWcyzSgxjOzhPUhUBLdZ-AiGSir_N7k
DPAC WQ,1Q4tWzAuPCYTY3f_2Nxgv95cfHc5pKWoQA1LjOOZYn60
DPAC Crop Yield Data,18LYKhkPq-A_pnDP4rimtJSuoiP5uX07dvlNJnCJbg18
DPAC Tile Nitrate-N Load,1E7TE4-KmMbcLqKtntB3BsZut__1aF3p3DqFSfwH37rc
DPAC Weather,1oCYRKj4HbBJylAGi0WWey2Ixn6sk1ZHqAB0TMQOahh0
DPAC Soil Data,1aNnKctWxt74hPfsU_KZxUmbj5Ys9bjPzna_E9dtQHY8
DAILY CLEAN - DPAC Tile Flow,1QWM8rU9JRplOXKR5NNzD-fDKROgCuOuiKOYAL-D3d6w
DPAC Tile Flow,1zTSpe03MMdFPeX0VaoAESAoIjLAklIl2R_7WDsatKlw
FILLED - DPAC Tile Flow,1ezyMG_qpZ60UXiL0HZb3mp9DGNWQ7y3wkW7M3Kqp254
DPAC Water Table Depth,1ozq5Xl6VBazcEDc88Oy3dIo36adYgPdVhhpCu1Hm01w
SWROC Crop Yield Data,1XaW2GEHUZsOgmR4iNlLiUFMTug4vhABWQH0GWnZ9Gco
SWROC LAI,1ex7KbCxH22cXvTZem92D154VPzVoUD8NTyKlioo-ZsE
SWROC Weather,1dqm1aW4-P2DNg1sygjURlVttakXsnTpBFVZfqIRoP0o
SWROC Soil Data,1KB9fcB4Pld4125VEoO5kRuSibZEUjimJ4xboOYRvec4
SWROC WQ,1W-1dcAa1_q-qxZ49DdPLh9Kl5MKvKRyqTfnRbOsulbQ
SWROC Tile Nitrate-N Load,1hUgXWd-mL6QVAjhoyD6WiUj32LxASdmCLu-U4renBpY
SWROC Irrigation Water Depth,1ZWkt1ADRbQHc1rz9nljls1enOk_3UaBpWf1Bnoziak4
SWROC Tile Flow,1CIw345UztORlCVCthF34u21cr8kjaPoZzTUVN9d_bFg
MUDS3_OLD Crop Yield Data,1OSjlqokhUK87FobEo16LEQmN0StB4eX6isBT61p6n_A
MUDS3_OLD Tile Nitrate-N Load,1oCn5vzIA1vnJX1mDSpMIup4LTVstd5TPsTFkdz9X3M4
MUDS3_OLD WQ,1Dlles_UaKPFqZAmnNnEyqmgpv-qnh-8Ox1ZZiw9c9FQ
MUDS3_OLD Soil Data,1DJiQVa7aoTqH33K9G_1pK0kDD7g8F7qpF5K0qbJ-cAo
MUDS3_OLD Weather,1alEljlRryMhes4-yTz75y3gulz0sR4NNGlpKlZ6RnvQ
MUDS3_OLD Tile Flow,1T3n9oZPuIOG0CUVu2o0RxTu-nx79QoRJFEVEHeA0Q2Y
COMPLETE - MUDS3_OLD Tile Flow,17gYL1oMpTuHORrZbSLYzXr0nWxB1AJWA_kZaDyAij4c
MUDS1 Crop Yield Data,1NQd9v37fxPYgTm4ZJgaaIjPEWP35xrI1t7Ql9tIbITI
MUDS1 Soil Data,14CK0-g1eKwFZx9Glk-Sg6ymlWWnT-zB5DhtCiWgNxgk
MUDS1 Weather,1FhdGewFb9ZduUk5alA6I34eQWUkcQOJBhJDaMF2jIZ0
FILLED - SERF_SD Tile Flow,1t0RatRvlcZHBMDpyT6fcSWE2OKzz1kaVvhF42YD0rqU
SERF_SD Crop Yield Data,1q7sAPseaDro8-P_XtQMtI3bKglqERHm7N6o0bqiaXws
SERF_SD Soil Data,1rMqakc5bQ8UT35LGBRCUwtxAl3OJr6pBkxbTp07zm-s
SERF_SD WQ,1HogzMxru0zPjeqyHxleEhQlqxF7lhOxNzqT696l-SIc
SERF_SD Tile Flow,1fLzkbGCiVEGB85LsJ-CrONrZyBCOPklhD4pi1XIrjAI
SERF_SD Weather,1mimdHYLCmBLQV0QIPyCUFuZ9ZmN7pz8Sw6wfh1ONKJI
SERF_SD Tile Nitrate-N Load,1wpKRvuXs4gzChF2cvkZmSLsEatUBdJrMHUBszLKCtOo
SERF_SD Water Table Depth,1AszVdlvHQXRcYIg2cy2PUOnxZEXK5EXMcEFx4oZFCJ0
DAILY CLEAN - SERF_SD Tile Flow,1jpPy5-ltWk933l3lnBnnQYgmaboQQORC7J5iAUP2oAs
STJOHNS Crop Yield Data,12TAoSZestKv9kcKPN3k2XQJlj5EWJ2rk94YDm7LMxv4
STJOHNS WQ,1DBYtUXiVnDHxxyc5vofsfyK3K_eZMHih2eL1V1CuPmA
STJOHNS Soil Data,1_OrOj9OZGahcQ_UAD8v_bMfcbU0b64G7siVcreYwXzM
STJOHNS Tile Nitrate-N Load,1ZsL2FQ8_mdPfgldKRcOM8VqdODrVnTWsmoN71erErUI
GV - STJOHNS Tile Flow,1ITEBPp2e14_sCirJv5E47qLh1oDpQjhwQ5_g2bTOs7E
STJOHNS Tile Flow,1ia4AUxICcMQ1mD4giprJfJpx8OOABlXU_O2IodFc9RQ
STJOHNS Water Table Depth,1bxyvvA0DCWeZC_OIAdX7oJLp5g2sqUcb6fs6HkSe75A
FILLED - STJOHNS Tile Flow,1W2s2tfoGJs0kmRqFv4tYb2GAKCbKuGT9qk6OqTAxUd0
STJOHNS Weather,1jiS7hd1KTVBjZVlXDt31EYeV7yMcrbGiM-RStL68ACE
FAIRM Soil Data,1hZTHHXdTfS6oGJYlE6xwWHw85vGHuB-YSMnNld_U1aE
FAIRM Crop Yield Data,1X0jX0E68tXf3QXv28aCqDfCfR271YvHrkbq2WN59Y2M
FAIRM Tile Flow,1CmAZFG313DD5C_z1BLPYmrEZd5caj7abSMS69ymSaXI
FAIRM Tile Water EC,12OW6YKU1tfUzaReR28z00gDEVZTXS3-5PuUsjgVdhkQ
FAIRM WQ,1vcSBTdkA76-rCyvRlSmVMGMLZC4fpdakZmWDRdsP7yY
FAIRM Tile Nitrate-N Load,11wIUc3XBOIQCi5ekChWnZ-7NagXUW4K0qwkwbelzmpc
FAIRM Irrigation Water Depth,1Ks1LxSueF6JsDXdX-JAL8LCNLyjxPWOSUh3qT-QYywE
FAIRM Water Table Depth,1COnzhKXyxxSqFLcUhSW5Roc_5D237fpwI9xfT9DhGk4
FAIRM Weather,1AwvkzDvWtPM1JqjBeaiScWMfj0rDWE4lP92WJyBR7qs
BEAR2 Water Table Depth,1dBxgoYRIFarbruXYRivf16MMilNe_9MuQmJcvI0SMfY
BEAR2 Soil Data,1IPBSnJ-lgTlVTwLEcHCjo5EgCnbl6E0QbuL5ILjFbD4
BEAR2 Tile Nitrate-N Load,1Is-GPH_F4__3U_LWc7ecNQhK0eOjQxR6OFSgLvQbnUs
BEAR2 Tile Flow,1kKJNiG0lRgjYLmeBsdBPHi0INoeF8SdE0N9XjhxJRh8
BEAR2 Weather,1MHzB-XYahLBnnqzRAv6eCIKL-jAdfsQiA8DIUEnQtno
BEAR2 WQ,1i4V2Jxj5K5exqDecDAqCQSQawvACFXlRM9QnzeWk9R4
BEAR WQ,1is6ew4AHLGhZXz3jUPqb8hW2IqqOJYSIsxN8u5i-Ddc
BEAR Water Table Depth,1QNOjM8bZhBQrzdq-K-8xjt4o6x2xDubyqtmcmo-j0N0
BEAR Soil Data,1JdHCZuTvPkbtwGiGr3-KjA0fcsuifIrtyTdkZ0B85uQ
BEAR Tile Nitrate-N Load,1-cFqCDfPWu3kcseGrCQnV0w6rhN6Sl3_hpkKE3knSbo
BEAR Tile Flow,1TOsGsGYInujmni04MPKCRZ0VJPjSyZ2h06TBjFSuaQ0
BEAR Weather,1oUpYKOS-HhKLJpzME0zo8loteFknhbYnOYDaYCz6OHo
HICKS_P Soil Data,1f8MiSc7odvNoOj3PkOCxu77gnggd3hmSve7AMAJE5MU
HICKS_P Water Table Depth,1d2wlQpujw1i91brykn7eszFILOwhvIUrVRZTVJ65q3w
DIKE Soil Data,10N72mc6WYqfx5esTeenuufj4ZbjriTSrh2Qkf3JV1Ms
DIKE Tile Nitrate-N Load,1nnLRmAieuTodqzuuBCmJ6lE-2T6wdS9ciOkbHIHyExQ
DIKE Tile Flow,1HewiYHzCetHv0DOIQMdZFbS8cds9cHaNigJvezbPDQo
DIKE WQ,15NpTKGPhJhdsjBN_ijz3sbWxD6fQ_i0RBEjRZC2GwHk
DIKE Weather,1ZEM3EHt-nS0sMOl5J2uNBg7ufRPG1GJSDONlHmNO_s4
CLAY_U Crop Yield Data,1m1FozqXM0ILuGomSOdB6282w1dxNlRgcvcGSBPhWssY
CLAY_U Soil Data,1R4M-SZEpDi8OumBjiiAAcCtO3BZ5sxVBsE1hSjRcq18
CLAY_U Weather,1GUPk_hx75KHJDgRB-3mC668gh_fLWT4sCuqYXbzr0Yw
CLAY_U Water Table Depth,1MMFPxPdf7Am07GtrdCsS14TyJm5C75n8jTF4t083VPE
BENTON Soil Data,1U_UmSUKNiPObJZ0pIlOh-9rVNlTqrVcZ3HDOAvUiulU
BENTON Tile Nitrate-N Load,1m_Qla1zkFlhg9fEnp7q0BzES3A-i53vW7aEZtk4fg1k
BENTON Tile Flow,1HHtjXXsCrjA8H21gHVaL4BZ_naEqtcYoSLJl2bVV8Dc
BENTON WQ,1gQ6kqskcXSKAnrOS9bC9lM3Hn2d56_HHUbdo4SlipoE
BENTON Weather,1A4Mo4FmtsC3borOGK95bkCMBkl-dKq7GrTtoNL3g37Q
MAASS Soil Data,1YNHL6fqD74_08tHqsrn8OFfezqOFVhKcphsYlcgwlOc
MAASS Tile Flow,1fknn_glYnW0YjAloCLpXfFoquXlR_RH7EU7l6izR-h0
MAASS Tile Nitrate-N Load,1XY0Kp5GXOnH-l7xjyVBIaFXEZHfUvHm2_qHrUWN5Das
MAASS Water Table Depth,1bp4-1mCpjMzzF_5XXudPORtz24kCahLFUpz4XrPOLXE
MAASS Weather,1MntYz7XqfXmr9N4an5ZJe0REFKWE2hIABbmVCMklvQ4
MAASS WQ,1Ie6ALCPtSNA5epXRS3uSNmqCGiXoHQgRn6yNMRlU2os
MUDS4 Soil Data,1K0l1ZXGVf5BABtLWkwX-ChmgH_gT5gaVZ1JV4lFfM1k
MUDS4 Crop Yield Data,1_VrrVn-7eWNUeFil7Ds0SIq6xf-py016LX65QreDYCc
COMPLETE - MUDS4 Tile Flow,1siglQ1_iEvL6Nej-NN2_yPX7pEueGburKyafp8GQ5wI
MUDS4 WQ,1GlpbNPpo8F-Mv3VxLSvCiKj4pnMCg8iznCxNZ5QDK5s
MUDS4 Weather,1FVLtgZp8kZ4CBplGPqO2tiPdlSiX4mvS1BBM_Rs2UnM
MUDS4 Tile Nitrate-N Load,1j7sXOk7yGk8dTZZkN0X1vFPVsfOeSGHSHKACSmcJL78
MUDS4 Tile Flow,1O2YA0WYFdvp4SndF_bD1-XabLgmrvWnj31vcUE6qm8A
BATH_A Soil Data,1nWueTb44ou5WgXPqBn7047eMg0jjIW3A8fRgmTDS1Fs
BATH_A Tile Flow,1UWod6LSFOCJVLoZfcQKRa_CHJX54NHzTKC9hSLokSrk
BATH_A Crop Yield Data,1_JB2JyTZLhfOVvGnFney2Pm0Rp4Zi_UVWa4dRvf_Cd0
BATH_A WQ,1BzG9P1d-mRDuTGsV2Yac4qNt0uuaFG9u7zmUIdn8Ubc
BATH_A Water Table Depth,1tKcGCtUUBMqfFL0_nF_opp0c6-qR-5NNKfEeA8u_NWc
BATH_A Tile Nitrate-N Load,1-8hZTqFX1R9DZA3FFRNZVB25QSd2HWSKhlUXLwTlu50
BATH_A Weather,10dvdHxJXTgYeJNGHGvEdPQNX2FKkwegwqlSYR4pZUCk
CLAY_C Soil Data,15fzBxgH7exdLsWR0eCsYk3sno9Qyox1fZuIINXXlI6U
CLAY_C Tile Nitrate-N Load,12NaaN07Yewz9SgVNtpzlp63WBvJ157nScHPn_pXxKlE
CLAY_C Tile Flow,1PEbvLGIbKZ2yL0LPhuzrJgGJTrGVkKHLiggwvfRTiwE
CLAY_C Weather,1aigebjkOvzBfg4hadMuHor1u3GDImv_CudoIDkb9-IY
CLAY_C WQ,1zuiYfajD3ZozXXTz7Svjia79Oo0SlSZYFhdMOCQRmXI
CLAY_C Water Table Depth,10-2ndNGyage5DnTQkJTrQ625_PT8P_L-oi3s2rNH8NQ
CLAY_C Crop Yield Data,1Cboi2uNMuvgSEarHgdzz4rFUvk__EYIAJIyyaXUnL78
HARDIN_NW WQ,18B4C0NU1LYjjGmN2Eeejyg4c5C9XIn6NdJscWQkKbu8
HARDIN_NW Soil Data,12EiN8cSCiF0pZ2V0FFb0gQnmi0URV5Z3jHGYrWEbRwo
HARDIN_NW Tile Nitrate-N Load,1388PD3w8FvEMMFPWIRm50QuRWamrMBzO7El2BKGlj0E
GV - HARDIN_NW Tile Flow,1pSmEgRWc0kHDY0EM-0cL37OxOan-ydQNxrKQR0Wtu6g
HARDIN_NW Tile Flow,1lislaJuz7ObJeBlPCpSp65fBgYIpPoeQ5iWUil3L8EE
HARDIN_NW Weather,1XNbVHbxZvWBuaz1Ylr1h7r7Wj7Yj1O5bMUPD8PbD84U
HARDIN_NW Crop Yield Data,1JIkHe8Vlqp9J6TAoyRQsp7twxZGBFxMzhCl91BWN6P4
FILLED - HARDIN_NW Tile Flow,1P0n6Jg-Zprgx6XYFL3epBtZ2G9UOJ8rUvk0yZH_4O8o
HARDIN Soil Data,1xiut1Mlb_DbtokoKccoNFOlToU87wFx-Uq1U4sUQU30
HARDIN Tile Nitrate-N Load,1a4bV6losLEVWANe3UqUoT7Ze7fqKbEcEiVKZgzRTvdA
HARDIN WQ,1HSc1LtOgUIp92XCKC_UTT1P8zo8HTySs8-rKFoOKAfM
DAILY CLEAN - HARDIN Tile Flow,1YIdBxqnWUIG4TSfTgh_D4_zUNkpgjDIzPr_K67-nMeI
HARDIN Tile Flow,1vMuJNWOT4xXk1lM3veKWw5fkUeF45Bb_y-7Hhq7yPHU
HARDIN Weather,1t2A0s8g6UnwH8Wlg-UtDWQ6BjsAPddWgzQ4qxl8L1dw
HARDIN Crop Yield Data,1yi31gFYqb-kKEZifxbCaBC0yfV68AncB7kuQ28STf24
WILKIN3 WQ,1t0Q2q7eWKH_752A1QMttgu9w6EtoyV_tGdz0BCOwYF0
WILKIN3 Crop Yield Data,1ix2YZo430iPUM707bx5zteqKOQMZBYPjhkVL6pH7-j0
WILKIN3 Soil Data,1j0qPlUmvWhwuRlYsLI0NfYldKyTQYYgPAzhhLbD0hsA
WILKIN3 Tile Nitrate-N Load,1M_DhEGyGl9ugpallz3nn75OLHOez2I5VwF9tJbDMgUU
WILKIN3 Weather,1Du2ezN2pX3BVdMStVW3FhK6_pqXv6nZ2-o4aN4UebrE
WILKIN3 Water Table Depth,1w_3_0tTpYDUu191zjnQogIxYAlrtpiGxdtTm9RN5cuI
WILKIN3 Tile Flow,1VeUcHVG8P7E9vm0DXKmmTU88oeMUSCkqREdYdC_btws
VANWERT Crop Yield Data,1CuCMn66-px-lj_IsiE1vYZotqydHzu9SA80giw7otG4
VANWERT WQ 2001-2009,1-Ym0ZtkzeTIU6LRDbnFZG91Zr4aqOEzaJmAfp1v0DK4
VANWERT Weather,1FNz0Vo5qnVW3FCQbIhjVofSUrROgdOjoupyJIbr0H4A
VANWERT Soil Data,1SB7zdtl8AppJyootsbB6dbldlBFUe8F6H1vgzzvKbr8
VANWERT Wetland Stage 2008-2009,1cKOC5AtNHuifDeSHAp4JiYQjWw8mJGQiW7X_yTXgyMw
SHEARER Soil Data,1LRi5FHL36ZEKdKe2MZmwoBHS5ya2t3DxZ4VHj8IvC4o
SHEARER Tile Flow,1pzwKsa_klMvOrdajHVCbu83b9lj-1-yZgbnVrhbOPaY
SHEARER Tile Nitrate-N Load,1W9WaNV8GoqPP57kuPJ4oNl1t_p98wi5qqOg78IqQuwo
